#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
   1    -3.482212   -0.26325122E+02
   2    -3.481212   -0.26532782E+02
   3    -3.480212   -0.26307009E+02
   4    -3.479212   -0.26330921E+02
   5    -3.478212   -0.26276450E+02
   6    -3.477212   -0.26281094E+02
   7    -3.476212   -0.26292043E+02
   8    -3.475212   -0.26302017E+02
   9    -3.474212   -0.26334644E+02
  10    -3.473212   -0.89624283E+02
  11    -3.472212   -0.26275614E+02
  12    -3.471212   -0.26360960E+02
  13    -3.470212   -0.26428237E+02
  14    -3.469212   -0.26383288E+02
  15    -3.468212   -0.26403413E+02
  16    -3.467212   -0.26413179E+02
  17    -3.466212   -0.26440756E+02
  18    -3.465212   -0.26365453E+02
  19    -3.464212   -0.26406047E+02
  20    -3.463212   -0.26600884E+02
  21    -3.462212   -0.26414018E+02
  22    -3.461212   -0.26428578E+02
  23    -3.460212   -0.26381322E+02
  24    -3.459212   -0.26354516E+02
  25    -3.458212   -0.26383597E+02
  26    -3.457212   -0.26334946E+02
  27    -3.456212   -0.26418591E+02
  28    -3.455212   -0.26286571E+02
  29    -3.454212   -0.26286352E+02
  30    -3.453212   -0.26356049E+02
  31    -3.452212   -0.26427595E+02
  32    -3.451212   -0.26376722E+02
  33    -3.450212   -0.26413702E+02
  34    -3.449212   -0.26424685E+02
  35    -3.448212   -0.26456932E+02
  36    -3.447212   -0.26351604E+02
  37    -3.446212   -0.26355226E+02
  38    -3.445212   -0.26557895E+02
  39    -3.444212   -0.26380140E+02
  40    -3.443212   -0.26358154E+02
  41    -3.442212   -0.26254380E+02
  42    -3.441212   -0.26234457E+02
  43    -3.440212   -0.26306365E+02
  44    -3.439212   -0.26295429E+02
  45    -3.438212   -0.26417417E+02
  46    -3.437212   -0.26223274E+02
  47    -3.436212   -0.26186514E+02
  48    -3.435212   -0.26208631E+02
  49    -3.434212   -0.26280580E+02
  50    -3.433212   -0.26251738E+02
  51    -3.432212   -0.26225506E+02
  52    -3.431212   -0.26306381E+02
  53    -3.430212   -0.26259723E+02
  54    -3.429212   -0.26084469E+02
  55    -3.428212   -0.26006405E+02
  56    -3.427212   -0.26157469E+02
  57    -3.426212   -0.29898341E+02
  58    -3.425212   -0.25809854E+02
  59    -3.424212   -0.25675791E+02
  60    -3.423212   -0.25571809E+02
  61    -3.422212   -0.25471843E+02
  62    -3.421212   -0.25325811E+02
  63    -3.420212   -0.24559238E+02
  64    -3.419212   -0.24962638E+02
  65    -3.418212   -0.24816303E+02
  66    -3.417212   -0.24811636E+02
  67    -3.416212   -0.24831337E+02
  68    -3.415212   -0.24711598E+02
  69    -3.414212   -0.24630217E+02
  70    -3.413212   -0.24678213E+02
  71    -3.412212   -0.24624514E+02
  72    -3.411212   -0.24431482E+02
  73    -3.410212   -0.24364188E+02
