#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
   1    -6.600167   -0.13752601E-04
   2    -6.599167   -0.14294389E-04
   3    -6.598167   -0.14857496E-04
   4    -6.597167   -0.15442759E-04
   5    -6.596167   -0.16051047E-04
   6    -6.595167   -0.16683265E-04
   7    -6.594167   -0.17340350E-04
   8    -6.593167   -0.18023278E-04
   9    -6.592167   -0.18733064E-04
  10    -6.591167   -0.19470759E-04
  11    -6.590167   -0.20237458E-04
  12    -6.589167   -0.21034297E-04
  13    -6.588167   -0.21862457E-04
  14    -6.587167   -0.22723166E-04
  15    -6.586167   -0.23617697E-04
  16    -6.585167   -0.24547374E-04
  17    -6.584167   -0.25513574E-04
  18    -6.583167   -0.26517725E-04
  19    -6.582167   -0.27561312E-04
  20    -6.581167   -0.28645875E-04
  21    -6.580167   -0.29773017E-04
  22    -6.579167   -0.30944402E-04
  23    -6.578167   -0.32161757E-04
  24    -6.577167   -0.33426877E-04
  25    -6.576167   -0.34741627E-04
  26    -6.575167   -0.36107942E-04
  27    -6.574167   -0.37527832E-04
  28    -6.573167   -0.39003387E-04
  29    -6.572167   -0.40536774E-04
  30    -6.571167   -0.42130246E-04
  31    -6.570167   -0.43786140E-04
  32    -6.569167   -0.45506886E-04
  33    -6.568167   -0.47295003E-04
  34    -6.567167   -0.49153111E-04
  35    -6.566167   -0.51083926E-04
  36    -6.565167   -0.53090271E-04
  37    -6.564167   -0.55175075E-04
  38    -6.563167   -0.57341378E-04
  39    -6.562167   -0.59592337E-04
  40    -6.561167   -0.61931229E-04
  41    -6.560167   -0.64361454E-04
  42    -6.559167   -0.66886541E-04
  43    -6.558167   -0.69510155E-04
  44    -6.557167   -0.72236096E-04
  45    -6.556167   -0.75068308E-04
  46    -6.555167   -0.78010884E-04
  47    -6.554167   -0.81068071E-04
  48    -6.553167   -0.84244274E-04
  49    -6.552167   -0.87544064E-04
  50    -6.551167   -0.90972181E-04
  51    -6.550167   -0.94533542E-04
  52    -6.549167   -0.98233246E-04
  53    -6.548167   -0.10207658E-03
  54    -6.547167   -0.10606904E-03
  55    -6.546167   -0.11021629E-03
  56    -6.545167   -0.11452425E-03
  57    -6.544167   -0.11899901E-03
  58    -6.543167   -0.12364691E-03
  59    -6.542167   -0.12847453E-03
  60    -6.541167   -0.13348865E-03
